time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/clip_fraction,train/approx_kl,train/entropy_loss,train/explained_variance,train/std,train/clip_range,train/policy_gradient_loss,train/n_updates,train/value_loss,train/learning_rate,train/loss,rollout/ep_len_mean,rollout/ep_rew_mean
1,512,0,3855,,,,,,,,,,,,,
2,1024,0,1816,0.2999267578125,0.017383426,-43.947802782058716,-1.0375678539276123,0.9977077841758728,0.2,-0.036920395607012324,16,0.19987859668253805,0.0004092704424510632,-0.03949178382754326,,
3,1536,0,1563,0.2652587890625,0.020531572,-43.93905794620514,0.0057759881019592285,0.999891996383667,0.2,-0.031431543102371506,32,0.00248707661012304,0.0004092704424510632,-0.04282160475850105,1258.0,-2.232219
4,2048,1,1460,0.28369140625,0.01996874,-43.99072027206421,0.003356754779815674,1.000008225440979,0.2,-0.026726367534138262,48,0.003269192071456928,0.0004092704424510632,-0.03085360862314701,1258.0,-2.232219
5,2560,1,1408,0.27392578125,0.017110974,-43.98661708831787,0.0015741586685180664,1.0005147457122803,0.2,-0.025889112992445007,64,0.0025870028512144927,0.0004092704424510632,-0.0390767976641655,1258.0,-2.2044595
6,3072,2,1366,0.306640625,0.020976417,-43.9845734834671,0.006543338298797607,0.9991940259933472,0.2,-0.03181750180374365,80,0.00626311797532253,0.0004092704424510632,-0.04362843185663223,1258.0,-2.2044595
7,3584,2,1341,0.201904296875,0.01395293,-43.974194169044495,0.003907442092895508,1.0012578964233398,0.2,-0.0234394521539798,96,0.0011810954620159464,0.0004092704424510632,-0.04125485196709633,1258.0,-2.2044595
8,4096,3,1322,0.2977294921875,0.019296957,-44.054553747177124,0.010165989398956299,1.0032950639724731,0.2,-0.02964262166642584,112,0.0037013460023445077,0.0004092704424510632,-0.04013364017009735,1258.0,-2.1555013333333335
9,4608,3,1311,0.2645263671875,0.018942475,-44.08338177204132,0.0047945380210876465,1.0030604600906372,0.2,-0.02552998359897174,128,0.006987164000747725,0.0004092704424510632,-0.02598460391163826,1258.0,-2.1555013333333335
10,5120,3,1301,0.2540283203125,0.017557412,-44.058886647224426,-0.00028574466705322266,1.0021435022354126,0.2,-0.029010176076553762,144,0.0023951303664944135,0.0004092704424510632,-0.037454258650541306,1258.0,-2.128248
11,5632,4,1294,0.2845458984375,0.025431335,-44.03104627132416,0.003876030445098877,1.001364827156067,0.2,-0.02815532189561054,160,0.013980811316287145,0.0004092704424510632,-0.028405074030160904,1258.0,-2.128248
12,6144,4,1286,0.2821044921875,0.019652992,-43.99810314178467,0.0010120868682861328,0.9997249841690063,0.2,-0.028453308463213034,176,0.001352509316348005,0.0004092704424510632,-0.03735973313450813,1258.0,-2.128248
13,6656,5,1253,0.2264404296875,0.017593734,-43.94896852970123,0.02233952283859253,0.9981380701065063,0.2,-0.02268092884332873,192,0.005428714168374427,0.0004092704424510632,-0.033237673342227936,1258.0,-2.1156726
14,7168,5,1243,0.288330078125,0.023533948,-43.91400742530823,0.014320790767669678,0.9979102611541748,0.2,-0.029334938401007093,208,0.02109510073205456,0.0004092704424510632,-0.02667298913002014,1258.0,-2.1156726
15,7680,6,1218,0.3011474609375,0.025457358,-43.9187628030777,0.2072504162788391,0.9984444379806519,0.2,-0.029946542126708664,224,0.0020179533421469387,0.0004092704424510632,-0.03471590206027031,1258.0,-2.1037026666666665
16,8192,6,1211,0.26171875,0.021331083,-43.915536522865295,0.04706507921218872,0.9975293874740601,0.2,-0.02828261084505357,240,0.028669239196460694,0.0004092704424510632,-0.018648643046617508,1258.0,-2.1037026666666665
17,8704,7,1210,0.2513427734375,0.0151937045,-43.87812876701355,-0.19856047630310059,0.9964463114738464,0.2,-0.027010488091036677,256,0.0016294937558996025,0.0004092704424510632,-0.02857636846601963,1258.0,-2.1037026666666665
18,9216,7,1211,0.3109130859375,0.02138596,-43.85854887962341,0.5470499396324158,0.9964271187782288,0.2,-0.033956530009163544,272,0.0035559964562708046,0.0004092704424510632,-0.047218166291713715,1258.0,-2.1102948571428572
19,9728,8,1209,0.228271484375,0.015524514,-43.879061222076416,0.2158302664756775,0.9975287318229675,0.2,-0.02624647441552952,288,0.029917068255599588,0.0004092704424510632,-0.03197166323661804,1258.0,-2.1102948571428572
20,10240,8,1210,0.2086181640625,0.015835613,-43.86252701282501,-0.02515995502471924,0.995147705078125,0.2,-0.024123164039338008,304,0.005089198915811721,0.0004092704424510632,-0.037489134818315506,1258.0,-2.110755125
21,10752,8,1210,0.301513671875,0.03297681,-43.80091381072998,0.12454444169998169,0.9939180612564087,0.2,-0.0319739245751407,320,0.04211324907373637,0.0004092704424510632,-0.029848624020814896,1258.0,-2.110755125
22,11264,9,1210,0.2916259765625,0.024702232,-43.76319479942322,-0.7784212827682495,0.9927401542663574,0.2,-0.02916953354724683,336,0.0025469011852692347,0.0004092704424510632,-0.03273014351725578,1258.0,-2.110755125
23,11776,9,1209,0.2469482421875,0.015400627,-43.70577824115753,0.6851338148117065,0.9898094534873962,0.2,-0.028068939776858315,352,0.002500970436813077,0.0004092704424510632,-0.04297592490911484,1258.0,-2.0939221111111106
24,12288,10,1208,0.283447265625,0.031064501,-43.635939955711365,0.2733960747718811,0.9890171885490417,0.2,-0.0235669836984016,368,0.03964882984291762,0.0004092704424510632,-0.017015710473060608,1258.0,-2.0939221111111106
25,12800,10,1209,0.1962890625,0.014533868,-43.6129184961319,-2.0939300060272217,0.9880375862121582,0.2,-0.02408319820824545,384,0.0070578160739387386,0.0004092704424510632,-0.0297927875071764,1258.0,-2.0768645999999995
26,13312,11,1209,0.2491455078125,0.018100187,-43.571982979774475,0.12540364265441895,0.9866324663162231,0.2,-0.024645492594572715,400,0.05300165817607194,0.0004092704424510632,-0.01521131582558155,1258.0,-2.0768645999999995
27,13824,11,1209,0.2313232421875,0.020107439,-43.54258728027344,-0.91650390625,0.986311137676239,0.2,-0.025994765368523076,416,0.003095909887633752,0.0004092704424510632,-0.045350585132837296,1258.0,-2.0768645999999995
28,14336,11,1208,0.2314453125,0.016074449,-43.537752747535706,0.713024914264679,0.9863125681877136,0.2,-0.02895370207261294,432,0.0033627523444010876,0.0004092704424510632,-0.038033321499824524,1258.0,-2.0798439090909087
29,14848,12,1208,0.337646484375,0.03165132,-43.51971459388733,0.23678380250930786,0.9850142598152161,0.2,-0.025266277909395285,448,0.03698269464075565,0.0004092704424510632,-0.012145226821303368,1258.0,-2.0798439090909087
30,15360,12,1208,0.2218017578125,0.018317606,-43.46408545970917,-1.870561122894287,0.9828423261642456,0.2,-0.02317404144559987,464,0.003345490611536661,0.0004092704424510632,-0.0346657894551754,1258.0,-2.0765541666666665
31,15872,13,1208,0.213623046875,0.019468434,-43.41476798057556,0.2429003119468689,0.9823307394981384,0.2,-0.022199255850864574,480,0.06660935166291893,0.0004092704424510632,0.002156374976038933,1258.0,-2.0765541666666665
32,16384,13,1208,0.2196044921875,0.015724128,-43.40391731262207,-0.504589319229126,0.9820399284362793,0.2,-0.02124955228646286,496,0.005890374100999907,0.0004092704424510632,-0.036830656230449677,1258.0,-2.075321769230769
33,16896,13,1207,0.2376708984375,0.024477446,-43.4067120552063,0.39711618423461914,0.9823660850524902,0.2,-0.027529520011739805,512,0.07093923271168023,0.0004092704424510632,0.0014775488525629044,1258.0,-2.075321769230769
34,17408,14,1207,0.25390625,0.021166353,-43.42005658149719,-0.7895740270614624,0.9829734563827515,0.2,-0.02478650349075906,528,0.009033669499331154,0.0004092704424510632,-0.034104883670806885,1258.0,-2.075321769230769
35,17920,14,1207,0.2352294921875,0.019120501,-43.44140267372131,-0.7826462984085083,0.9834815263748169,0.2,-0.025257936140405945,544,0.0019298991974210367,0.0004092704424510632,-0.04099420830607414,1258.0,-2.062274214285714
36,18432,15,1205,0.2579345703125,0.026150519,-43.435837388038635,0.1476593017578125,0.9825583100318909,0.2,-0.02474900195375085,560,0.09697079448960721,0.0004092704424510632,0.0027892310172319412,1258.0,-2.062274214285714
37,18944,15,1205,0.1995849609375,0.018906128,-43.40667390823364,-0.49341440200805664,0.981742799282074,0.2,-0.020092437815037556,576,0.009486734925303608,0.0004092704424510632,-0.03466498479247093,1258.0,-2.0685944666666662
38,19456,16,1205,0.2672119140625,0.0231721,-43.37998425960541,0.3403739929199219,0.9811874032020569,0.2,-0.02924900790094398,592,0.07688496017362922,0.0004092704424510632,-0.01585245132446289,1258.0,-2.0685944666666662
39,19968,16,1205,0.1817626953125,0.01622775,-43.36443018913269,-3.3267359733581543,0.9806761741638184,0.2,-0.023583466056152247,608,0.0068867597947246395,0.0004092704424510632,-0.03901547193527222,1258.0,-2.0685944666666662
40,20480,16,1205,0.27490234375,0.020920958,-43.35196852684021,0.26299405097961426,0.9804808497428894,0.2,-0.026605349936289713,624,0.0038706032682966907,0.0004092704424510632,-0.03162728250026703,1258.0,-2.08051
41,20992,17,1205,0.2386474609375,0.02706888,-43.374603629112244,0.16299819946289062,0.9822817444801331,0.2,-0.030171814374625683,640,0.10617704782634974,0.0004092704424510632,-0.011014316231012344,1258.0,-2.08051
42,21504,17,1205,0.2421875,0.020106465,-43.431880831718445,-2.2535512447357178,0.9837682843208313,0.2,-0.028741591901052743,656,0.010607033604173921,0.0004092704424510632,-0.03320544213056564,1258.0,-2.0894492352941176
43,22016,18,1204,0.186279296875,0.018430334,-43.47048795223236,0.3298252820968628,0.9846469163894653,0.2,-0.021724144637119025,672,0.1124684966634959,0.0004092704424510632,0.009149450808763504,1258.0,-2.0894492352941176
44,22528,18,1204,0.23388671875,0.021379914,-43.51148235797882,-8.499287605285645,0.9871051907539368,0.2,-0.02550034319574479,688,0.007627110495377565,0.0004092704424510632,-0.0286095030605793,1258.0,-2.0894492352941176
45,23040,19,1204,0.3018798828125,0.026521908,-43.552802085876465,0.21287649869918823,0.9861069917678833,0.2,-0.02950920566217974,704,0.003790926064539235,0.0004092704424510632,-0.04814993962645531,1258.0,-2.0811985555555554
46,23552,19,1204,0.187744140625,0.017693853,-43.511141896247864,0.21797215938568115,0.9853760600090027,0.2,-0.025405862426850945,720,0.1431491271359846,0.0004092704424510632,0.007990095764398575,1258.0,-2.0811985555555554
47,24064,19,1204,0.2049560546875,0.02019646,-43.51865553855896,-2.8469278812408447,0.9866319298744202,0.2,-0.022579334530746564,736,0.014245189595385455,0.0004092704424510632,-0.03220715746283531,1258.0,-2.0850504736842104
48,24576,20,1204,0.1878662109375,0.017565379,-43.54720640182495,0.09570354223251343,0.9864904284477234,0.2,-0.020613790387869813,752,0.15587327792309225,0.0004092704424510632,0.007050365209579468,1258.0,-2.0850504736842104
