time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/entropy_loss,train/std,train/learning_rate,train/clip_fraction,train/value_loss,train/loss,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean
512,1,4472,0,,,,,,,,,,,,,
1024,2,2245,0,-43.991570234298706,1.0003176927566528,0.0004092704424510632,0.2705078125,0.13380152163881576,-0.040692370384931564,-1.6489589214324951,-0.03368819318711758,0.019538242,0.2,16,,
1536,3,1802,0,-43.983551144599915,0.9992889761924744,0.0004092704424510632,0.21630859375,0.003955265266995411,-0.02236703224480152,0.006737887859344482,-0.022306532424408942,0.012985988,0.2,32,-2.266557,1257.0
2048,4,1642,1,-43.959914207458496,0.9992620944976807,0.0004092704424510632,0.314697265625,0.003467541442660149,-0.024966135621070862,0.006993353366851807,-0.03320195703417994,0.019377833,0.2,48,-2.266557,1257.0
2560,5,1561,1,-43.968955636024475,0.9997810125350952,0.0004092704424510632,0.2904052734375,0.002884036370232934,-0.03386280685663223,-0.0024225711822509766,-0.025199790397891775,0.020306924,0.2,64,-2.2936535,1257.0
3072,6,1512,2,-43.978002309799194,0.999690592288971,0.0004092704424510632,0.2166748046875,0.007181247856351547,-0.02703147754073143,0.0012850761413574219,-0.020895848982036114,0.012868321,0.2,80,-2.2936535,1257.0
3584,7,1477,2,-43.96968722343445,0.9996498227119446,0.0004092704424510632,0.269775390625,0.00396338410791941,-0.03369106352329254,-0.004933357238769531,-0.026614899426931515,0.01744708,0.2,96,-2.2936535,1257.0
4096,8,1451,2,-43.97769355773926,1.000279426574707,0.0004092704424510632,0.2955322265625,0.003513989424391184,-0.04030092433094978,0.003147602081298828,-0.03178654647490475,0.020085115,0.2,112,-2.287084666666667,1257.0
4608,9,1431,3,-43.997753739356995,1.0007436275482178,0.0004092704424510632,0.2401123046875,0.020572858484229073,-0.028451506048440933,0.0007254481315612793,-0.026961912313709036,0.01739572,0.2,128,-2.287084666666667,1257.0
5120,10,1415,3,-43.992897629737854,0.9997258186340332,0.0004092704424510632,0.262939453125,0.0020419561878952663,-0.03967348113656044,-0.002742767333984375,-0.028047853731550276,0.01787638,0.2,144,-2.2796540000000003,1257.0
5632,11,1402,4,-43.92259335517883,0.9967881441116333,0.0004092704424510632,0.217529296875,0.022783111518947408,-0.015612868592143059,1.5616416931152344e-05,-0.022864946353365667,0.017796976,0.2,160,-2.2796540000000003,1257.0
6144,12,1394,4,-43.84256982803345,0.9947474002838135,0.0004092704424510632,0.256103515625,0.0038567133306059986,-0.03529123589396477,-0.010357379913330078,-0.027497175680764485,0.016289417,0.2,176,-2.2796540000000003,1257.0
6656,13,1386,4,-43.820932269096375,0.9957524538040161,0.0004092704424510632,0.193359375,0.003539849963999586,-0.03260241448879242,-0.001986980438232422,-0.020646263496018946,0.014332012,0.2,192,-2.2927418000000004,1257.0
7168,14,1379,5,-43.866976857185364,0.9974423050880432,0.0004092704424510632,0.2353515625,0.041650430765002966,0.0044966936111450195,0.0006184577941894531,-0.022062293963244883,0.018062852,0.2,208,-2.2927418000000004,1257.0
7680,15,1373,5,-43.91844165325165,0.9990112781524658,0.0004092704424510632,0.2825927734375,0.003090852998866467,-0.03863896057009697,-0.0016196966171264648,-0.03165404929313809,0.01751,0.2,224,-2.289153,1257.0
8192,16,1368,5,-43.935797929763794,0.9982110261917114,0.0004092704424510632,0.3089599609375,0.04554582154378295,-0.024048659950494766,0.0011515021324157715,-0.030247586721088737,0.026636917,0.2,240,-2.289153,1257.0
