time/time_elapsed,time/fps,time/iterations,time/total_timesteps,train/n_updates,train/entropy_loss,train/clip_range,train/learning_rate,train/loss,train/clip_fraction,train/value_loss,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/std,rollout/ep_rew_mean,rollout/ep_len_mean
0,3604,1,512,,,,,,,,,,,,,
0,1770,2,1024,16,-43.96963155269623,0.2,0.0004092704424510632,-0.034427210688591,0.249267578125,0.20272629270039033,0.020396195,-0.8034992218017578,-0.031124340428505093,0.9988626837730408,,
0,1546,3,1536,32,-43.93616783618927,0.2,0.0004092704424510632,-0.034553781151771545,0.2073974609375,0.0035832093562930822,0.015079046,0.0001545548439025879,-0.023592142621055245,0.997920572757721,-2.265169,1257.0
1,1447,4,2048,48,-43.89568603038788,0.2,0.0004092704424510632,-0.0392187274992466,0.265625,0.0015467806042579468,0.016622366,-0.0018510818481445312,-0.028411917155608535,0.996069073677063,-2.265169,1257.0
1,1391,5,2560,64,-43.85407090187073,0.2,0.0004092704424510632,-0.04553438350558281,0.346435546875,0.002520384015952004,0.0232157,0.007854223251342773,-0.032709937513573095,0.995893657207489,-2.2875585000000003,1257.0
2,1348,6,3072,80,-43.83885836601257,0.2,0.0004092704424510632,-0.039029963314533234,0.2940673828125,0.0052233986352803186,0.02220235,-0.007973790168762207,-0.029382948152488098,0.9944338798522949,-2.2875585000000003,1257.0
2,1327,7,3584,96,-43.81490695476532,0.2,0.0004092704424510632,-0.04358024150133133,0.333740234375,0.003980610315920785,0.020676885,0.011967599391937256,-0.03206490891170688,0.9951767921447754,-2.2875585000000003,1257.0
3,1310,8,4096,112,-43.85120177268982,0.2,0.0004092704424510632,-0.023072609677910805,0.2249755859375,0.0036270736818551086,0.012943225,0.0023882389068603516,-0.02300263890356291,0.9962811470031738,-2.324996,1257.0
3,1299,9,4608,128,-43.873096227645874,0.2,0.0004092704424510632,-0.019272569566965103,0.3043212890625,0.012032868369715288,0.022677563,-0.0003103017807006836,-0.02969264009152539,0.9964902997016907,-2.324996,1257.0
3,1289,10,5120,144,-43.882856130599976,0.2,0.0004092704424510632,-0.03730260580778122,0.2506103515625,0.0017015109551721253,0.016230313,0.017688393592834473,-0.025459277327172458,0.9970231056213379,-2.3100615,1257.0
4,1282,11,5632,160,-43.87389838695526,0.2,0.0004092704424510632,-0.029103461652994156,0.2900390625,0.012678399114520289,0.019660883,-0.004333615303039551,-0.026540059450780973,0.9956145286560059,-2.3100615,1257.0
4,1276,12,6144,176,-43.83009374141693,0.2,0.0004092704424510632,-0.039319057017564774,0.326416015625,0.0035697246275958605,0.028681163,0.015323638916015625,-0.031073513702722266,0.9949168562889099,-2.3100615,1257.0
