time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/learning_rate,train/entropy_loss,train/value_loss,train/n_updates,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,train/std,train/approx_kl,train/loss,train/clip_range,rollout/ep_len_mean,rollout/ep_rew_mean
3792,512,1,0,,,,,,,,,,,,,
1803,1024,2,0,0.0004092704424510632,-43.99264848232269,0.07770218699442921,16,-0.25812649726867676,-0.040539896581321955,0.333984375,1.0006476640701294,0.020565672,-0.04485675320029259,0.2,,
1549,1536,3,0,0.0004092704424510632,-44.01736867427826,0.008980905928183347,32,0.0011800527572631836,-0.030980978190200403,0.347900390625,1.0012131929397583,0.026591877,-0.04353976994752884,0.2,1258.0,-3.214202
1452,2048,4,1,0.0004092704424510632,-43.98440134525299,0.008222462769481353,48,0.008429467678070068,-0.028763869573595002,0.27734375,0.9980930089950562,0.019843059,-0.031373269855976105,0.2,1258.0,-3.214202
1397,2560,5,1,0.0004092704424510632,-43.89842653274536,0.010288049146765843,64,0.010454118251800537,-0.026925053636659868,0.2803955078125,0.9967195987701416,0.018126538,-0.030736573040485382,0.2,1258.0,-3.2254405
1367,3072,6,2,0.0004092704424510632,-43.88844954967499,0.016336508590029553,80,0.008628427982330322,-0.024777598839136772,0.27392578125,0.9973369240760803,0.015608154,-0.020898818969726562,0.2,1258.0,-3.2254405
1344,3584,7,2,0.0004092704424510632,-43.90432929992676,0.007451676472555846,96,0.012686550617218018,-0.030578888836316764,0.302978515625,0.9975597262382507,0.0224124,-0.03531225398182869,0.2,1258.0,-3.2254405
1326,4096,8,3,0.0004092704424510632,-43.91021764278412,0.0026842410952667706,112,0.022637128829956055,-0.025620700209401548,0.267333984375,0.9978939294815063,0.016733017,-0.028181355446577072,0.2,1258.0,-3.2323416666666667
1314,4608,9,3,0.0004092704424510632,-43.882495045661926,0.030740521964617074,128,0.0036993026733398438,-0.026194391160970554,0.2252197265625,0.9951007962226868,0.015172543,-0.025161243975162506,0.2,1258.0,-3.2323416666666667
1304,5120,10,3,0.0004092704424510632,-43.790276527404785,0.009157722990494221,144,0.03453946113586426,-0.030305055726785213,0.30419921875,0.9929496645927429,0.021770308,-0.03411002457141876,0.2,1258.0,-3.27232775
1296,5632,11,4,0.0004092704424510632,-43.74819898605347,0.04396702104713768,160,0.020427703857421875,-0.022323526631225832,0.25244140625,0.9921592473983765,0.0208501,-0.00817769207060337,0.2,1258.0,-3.27232775
1289,6144,12,4,0.0004092704424510632,-43.73485064506531,0.007180327593232505,176,0.1860489845275879,-0.02567830975021934,0.263427734375,0.9924232959747314,0.022416394,-0.031107639893889427,0.2,1258.0,-3.27232775
1284,6656,13,5,0.0004092704424510632,-43.727928161621094,0.002842611018422758,192,0.2551634907722473,-0.02748562573106028,0.2529296875,0.9913922548294067,0.017986462,-0.033267661929130554,0.2,1258.0,-3.2291656000000004
1280,7168,14,5,0.0004092704424510632,-43.70931780338287,0.06265471922233701,208,0.041931211948394775,-0.024090026097837836,0.26708984375,0.9915359616279602,0.020624094,-0.01395861804485321,0.2,1258.0,-3.2291656000000004
1277,7680,15,6,0.0004092704424510632,-43.70245695114136,0.006845997471828014,224,0.38688212633132935,-0.02938117043231614,0.2781982421875,0.9910367131233215,0.021897376,-0.03109719604253769,0.2,1258.0,-3.2159766666666667
1274,8192,16,6,0.0004092704424510632,-43.69321429729462,0.06484338466543704,240,0.1014866828918457,-0.025352177101012785,0.28564453125,0.9911473989486694,0.020737134,-0.0032995902001857758,0.2,1258.0,-3.2159766666666667
1270,8704,17,6,0.0004092704424510632,-43.69009041786194,0.007968296806211583,256,0.5486518144607544,-0.024377961846766993,0.232421875,0.9907740354537964,0.022717398,-0.03126552328467369,0.2,1258.0,-3.2159766666666667
1268,9216,18,7,0.0004092704424510632,-43.69467639923096,0.0032710083251004107,272,-0.488433837890625,-0.022468227078206837,0.2144775390625,0.991959810256958,0.015712272,-0.027761178091168404,0.2,1258.0,-3.241806142857143
1265,9728,19,7,0.0004092704424510632,-43.711710810661316,0.07620070315897465,288,0.031391799449920654,-0.029217705159680918,0.2845458984375,0.9913209080696106,0.017783713,-0.007125195115804672,0.2,1258.0,-3.241806142857143
1263,10240,20,8,0.0004092704424510632,-43.689780831336975,0.010261105839163065,304,0.44880443811416626,-0.021759654031484388,0.1884765625,0.9912914633750916,0.015048722,-0.03272387012839317,0.2,1258.0,-3.2437484999999997
1261,10752,21,8,0.0004092704424510632,-43.661625623703,0.0746680727461353,320,0.3107095956802368,-0.02257810637820512,0.2200927734375,0.988876461982727,0.015691007,-0.006026104092597961,0.2,1258.0,-3.2437484999999997
1261,11264,22,8,0.0004092704424510632,-43.61836040019989,0.009216850041411817,336,0.4988210201263428,-0.018469454837031662,0.184326171875,0.9893054366111755,0.0138118835,-0.012185151688754559,0.2,1258.0,-3.2437484999999997
1259,11776,23,9,0.0004092704424510632,-43.65847444534302,0.0037827503510925453,352,-0.8961931467056274,-0.01971859936020337,0.19677734375,0.9908668398857117,0.015916254,-0.026712290942668915,0.2,1258.0,-3.233326333333333
1258,12288,24,9,0.0004092704424510632,-43.694411635398865,0.07167806103825569,368,0.08270430564880371,-0.02887640570406802,0.2540283203125,0.9908909797668457,0.022226747,-0.02192937210202217,0.2,1258.0,-3.233326333333333
1256,12800,25,10,0.0004092704424510632,-43.68144202232361,0.017639057026826777,384,-0.43667924404144287,-0.02295933927234728,0.1859130859375,0.9908780455589294,0.017745592,-0.020286109298467636,0.2,1258.0,-3.2486222999999996
1254,13312,26,10,0.0004092704424510632,-43.70278549194336,0.09342858055606484,400,0.27842986583709717,-0.0215543434387655,0.1884765625,0.9922186136245728,0.016364016,0.013774367049336433,0.2,1258.0,-3.2486222999999996
1253,13824,27,11,0.0004092704424510632,-43.73748755455017,0.009933117355103604,416,0.5466837882995605,-0.029610021563712507,0.25146484375,0.9933822154998779,0.023637284,-0.042264875024557114,0.2,1258.0,-3.2486222999999996
1252,14336,28,11,0.0004092704424510632,-43.74720633029938,0.010275389562593773,432,0.4863421320915222,-0.027480971461045556,0.2830810546875,0.9924240112304688,0.028740402,-0.03414679318666458,0.2,1258.0,-3.2555043636363634
1250,14848,29,11,0.0004092704424510632,-43.70086169242859,0.04577162774512544,448,0.3306346535682678,-0.028887574837426655,0.304443359375,0.9910409450531006,0.046005845,-0.017790604382753372,0.2,1258.0,-3.2555043636363634
1250,15360,30,12,0.0004092704424510632,-43.683003067970276,0.011980577764916234,464,-0.31545937061309814,-0.01988208925467916,0.1817626953125,0.9912636280059814,0.0133849345,-0.02498561702668667,0.2,1258.0,-3.2496579999999997
1249,15872,31,12,0.0004092704424510632,-43.68641901016235,0.0889590400038287,480,0.25855201482772827,-0.027136631979374215,0.2584228515625,0.9910412430763245,0.017650234,0.0021619871258735657,0.2,1258.0,-3.2496579999999997
1249,16384,32,13,0.0004092704424510632,-43.69262182712555,0.015758196997921914,496,0.18792200088500977,-0.02760346206196118,0.22314453125,0.9922130107879639,0.02373777,-0.03270668536424637,0.2,1258.0,-3.2492706923076917
1247,16896,33,13,0.0004092704424510632,-43.72013235092163,0.09805830707773566,512,0.4122745990753174,-0.02781349043652881,0.23974609375,0.992313027381897,0.017584287,-0.0016092583537101746,0.2,1258.0,-3.2492706923076917
1246,17408,34,13,0.0004092704424510632,-43.711158752441406,0.006120078644016758,528,-0.7230565547943115,-0.027502115844981745,0.2662353515625,0.992202877998352,0.018400822,-0.03837016597390175,0.2,1258.0,-3.2492706923076917
1245,17920,35,14,0.0004092704424510632,-43.696909070014954,0.003561157478543464,544,0.23645251989364624,-0.026993635852704756,0.25390625,0.9910607933998108,0.019501423,-0.0320606604218483,0.2,1258.0,-3.229140285714285
1244,18432,36,14,0.0004092704424510632,-43.65874123573303,0.1498049630317837,560,0.08396059274673462,-0.023016681720037013,0.2093505859375,0.9904327392578125,0.02280499,0.05929532274603844,0.2,1258.0,-3.229140285714285
1244,18944,37,15,0.0004092704424510632,-43.64788484573364,0.02058972991653718,576,0.18652689456939697,-0.022431559540564194,0.20751953125,0.9902185201644897,0.018405339,-0.028540436178445816,0.2,1258.0,-3.2332855999999994
1243,19456,38,15,0.0004092704424510632,-43.62176847457886,0.10346714034676552,592,0.29753953218460083,-0.025379353584867204,0.2371826171875,0.987923800945282,0.021324797,0.01689095050096512,0.2,1258.0,-3.2332855999999994
1243,19968,39,16,0.0004092704424510632,-43.57618463039398,0.012991385796340182,608,0.17615854740142822,-0.02855874636588851,0.2635498046875,0.9883019924163818,0.03294992,-0.04025400057435036,0.2,1258.0,-3.2332855999999994
1242,20480,40,16,0.0004092704424510632,-43.5901415348053,0.004450943313713651,624,-0.024008750915527344,-0.027529379352927208,0.261474609375,0.9883131384849548,0.023133893,-0.02713502198457718,0.2,1258.0,-3.2364873750000003
1242,20992,41,16,0.0004092704424510632,-43.587478160858154,0.12004871759563684,640,0.17588549852371216,-0.021633202202792745,0.201904296875,0.9881736040115356,0.022229,0.014339203014969826,0.2,1258.0,-3.2364873750000003
