time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/entropy_loss,train/value_loss,train/loss,train/policy_gradient_loss,train/n_updates,train/learning_rate,train/clip_range,train/explained_variance,train/clip_fraction,train/std,train/approx_kl,rollout/ep_rew_mean,rollout/ep_len_mean
512,4145,0,1,,,,,,,,,,,,,
1024,1906,0,2,-43.965489625930786,0.1931437945313519,-0.027094129472970963,-0.025594476028345525,16,0.0004092704424510632,0.2,-1.2883353233337402,0.233642578125,0.998799741268158,0.015452973,,
1536,1630,0,3,-43.9404239654541,0.013403201301116496,-0.04396653547883034,-0.03589293174445629,32,0.0004092704424510632,0.2,0.015369713306427002,0.3543701171875,0.998425304889679,0.03228496,-2.778824,1258.0
2048,1474,1,4,-43.93563783168793,0.01152028507203795,-0.028045475482940674,-0.02363150377641432,48,0.0004092704424510632,0.2,0.010607004165649414,0.2730712890625,0.9983220100402832,0.015868515,-2.778824,1258.0
2560,1377,1,5,-43.945082664489746,0.002596334925328847,-0.045292798429727554,-0.027485963248182088,64,0.0004092704424510632,0.2,-0.004810690879821777,0.269775390625,0.999394953250885,0.016430441,-2.6849235,1258.0
3072,1350,2,6,-43.97345161437988,0.02103065061965026,-0.03003901243209839,-0.028500161992269568,80,0.0004092704424510632,0.2,0.002428770065307617,0.2886962890625,0.9992492198944092,0.024715096,-2.6849235,1258.0
3584,1337,2,7,-43.94414210319519,0.003241612528654514,-0.03944741189479828,-0.03318634259630926,96,0.0004092704424510632,0.2,-0.009923815727233887,0.3304443359375,0.99834805727005,0.02173364,-2.6849235,1258.0
4096,1327,3,8,-43.90678560733795,0.01300767096108757,-0.021773938089609146,-0.02507761266315356,112,0.0004092704424510632,0.2,-0.006669044494628906,0.246337890625,0.9968316555023193,0.015508068,-2.6795899999999997,1258.0
4608,1319,3,9,-43.89560043811798,0.031425909721292555,-0.02326982095837593,-0.02826559671666473,128,0.0004092704424510632,0.2,0.009562134742736816,0.324462890625,0.9981768131256104,0.023910105,-2.6795899999999997,1258.0
5120,1312,3,10,-43.926446318626404,0.008220474774134345,-0.04971093311905861,-0.0341400868492201,144,0.0004092704424510632,0.2,0.021485328674316406,0.31396484375,0.9981520175933838,0.023519348,-2.697331,1258.0
5632,1309,4,11,-43.88118922710419,0.04188533773412928,0.00718552153557539,-0.017491279228124768,160,0.0004092704424510632,0.2,0.012002229690551758,0.2200927734375,0.995307445526123,0.01721596,-2.697331,1258.0
6144,1305,4,12,-43.820234298706055,0.002079972386127338,-0.026964792981743813,-0.025343166256789118,176,0.0004092704424510632,0.2,-0.020725727081298828,0.2589111328125,0.9955260753631592,0.014280104,-2.697331,1258.0
6656,1299,5,13,-43.824270725250244,0.01293121962225996,-0.04099316522479057,-0.02611153354519047,192,0.0004092704424510632,0.2,-0.0033146142959594727,0.24609375,0.9943273663520813,0.01795208,-2.7002374000000002,1258.0
7168,1296,5,14,-43.77791202068329,0.05520792352035642,-0.01680242083966732,-0.029715418291743845,208,0.0004092704424510632,0.2,0.006048142910003662,0.33740234375,0.9933127760887146,0.025901379,-2.7002374000000002,1258.0
7680,1295,5,15,-43.75434362888336,0.010480025899596512,-0.04240676015615463,-0.02806351552135311,224,0.0004092704424510632,0.2,0.08618855476379395,0.269287109375,0.9927833080291748,0.021173144,-2.7020080000000006,1258.0
8192,1293,6,16,-43.715110063552856,0.06175522424746305,-0.009187165647745132,-0.023506662371801212,240,0.0004092704424510632,0.2,0.04241323471069336,0.250244140625,0.9902014136314392,0.016079593,-2.7020080000000006,1258.0
8704,1289,6,17,-43.65643835067749,0.0027396656514611095,-0.04760972037911415,-0.03216111029905733,256,0.0004092704424510632,0.2,-0.2226618528366089,0.2958984375,0.9903295040130615,0.01779498,-2.7020080000000006,1258.0
9216,1292,7,18,-43.68279206752777,0.013636466494062915,-0.027524881064891815,-0.02182125492254272,272,0.0004092704424510632,0.2,0.07450789213180542,0.228759765625,0.9913039803504944,0.017929437,-2.7063850000000005,1258.0
9728,1291,7,19,-43.72917461395264,0.06811703194398433,-0.015203230082988739,-0.02458687785838265,288,0.0004092704424510632,0.2,0.08792471885681152,0.254638671875,0.9932035207748413,0.021630563,-2.7063850000000005,1258.0
10240,1288,7,20,-43.78934192657471,0.007142518705222756,-0.021082719787955284,-0.022088485886342824,304,0.0004092704424510632,0.2,0.3384556174278259,0.2115478515625,0.9952290654182434,0.017053654,-2.7113762500000003,1258.0
10752,1287,8,21,-43.807886481285095,0.07209602778311819,0.0017873123288154602,-0.026287164073437452,320,0.0004092704424510632,0.2,0.21898818016052246,0.28662109375,0.9936554431915283,0.019660445,-2.7113762500000003,1258.0
11264,1286,8,22,-43.76546275615692,0.0044289389697951265,-0.03812173008918762,-0.02725890913279727,336,0.0004092704424510632,0.2,-2.895249843597412,0.2725830078125,0.9933910369873047,0.025094908,-2.7113762500000003,1258.0
