time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/clip_range,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/std,train/learning_rate,train/loss,train/explained_variance,train/n_updates,train/clip_fraction,train/approx_kl,rollout/ep_rew_mean,rollout/ep_len_mean
3944,512,1,0,,,,,,,,,,,,,
1830,1024,2,0,0.2,-0.027032532991142944,0.23670799755564076,-43.971694469451904,0.9989310503005981,0.0004092704424510632,-0.034108128398656845,-1.5690500736236572,16,0.242919921875,0.015397295,,
1575,1536,3,0,0.2,-0.03395962587092072,0.003997769468696788,-43.93123531341553,0.9973449110984802,0.0004092704424510632,-0.042162004858255386,0.0051152706146240234,32,0.266357421875,0.020310499,-2.140312,1258.0
1473,2048,4,1,0.2,-0.03179364514653571,0.0014030606807864388,-43.8873176574707,0.9964657425880432,0.0004092704424510632,-0.046172164380550385,0.0004030466079711914,48,0.2509765625,0.016700745,-2.140312,1258.0
1417,2560,5,1,0.2,-0.028676788351731375,0.0026263899344485253,-43.878209471702576,0.996871829032898,0.0004092704424510632,-0.02930225059390068,0.006277263164520264,64,0.285888671875,0.019948592,-2.1021125,1258.0
1387,3072,6,2,0.2,-0.03000445979705546,0.0031276740483008325,-43.89078164100647,0.9970698356628418,0.0004092704424510632,-0.03670152649283409,0.006628215312957764,80,0.2591552734375,0.018298823,-2.1021125,1258.0
1365,3584,7,2,0.2,-0.024454070371575654,0.0024608929415990133,-43.899476170539856,0.9977744817733765,0.0004092704424510632,-0.01909642480313778,0.005960643291473389,96,0.2266845703125,0.015676297,-2.1021125,1258.0
1347,4096,8,3,0.2,-0.024923025630414486,0.005008498774259351,-43.928579688072205,0.9986958503723145,0.0004092704424510632,-0.036909930408000946,0.005473136901855469,112,0.2423095703125,0.01694654,-2.1494663333333333,1258.0
1333,4608,9,3,0.2,-0.023092432849807665,0.005431199817394372,-43.937631487846375,0.9981944561004639,0.0004092704424510632,-0.021003127098083496,0.006649434566497803,128,0.2904052734375,0.016712384,-2.1494663333333333,1258.0
1324,5120,10,3,0.2,-0.02584814240981359,0.004395169686176814,-43.930288434028625,0.9989031553268433,0.0004092704424510632,-0.033737361431121826,0.020623981952667236,144,0.2628173828125,0.021159973,-2.1584095000000003,1258.0
