time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/explained_variance,train/std,train/approx_kl,train/clip_fraction,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/loss,train/value_loss,train/entropy_loss,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean
512,1,4112,0,,,,,,,,,,,,,
1024,2,2654,0,-0.45611369609832764,0.9977227449417114,0.016432703,0.2252197265625,0.2,0.0004092704424510632,-0.0299917399242986,-0.025877421721816063,0.14702835837670136,-43.94964277744293,16,,
1536,3,2321,0,-0.002135038375854492,0.9964275360107422,0.01738317,0.2518310546875,0.2,0.0004092704424510632,-0.02688611956546083,-0.04787902906537056,0.0030632456837338395,-43.893980860710144,32,-2.338257,1223.0
2048,4,2142,0,-0.007569313049316406,0.9977275133132935,0.012453282,0.2034912109375,0.2,0.0004092704424510632,-0.020702222333056852,-0.027661049738526344,0.004533788698608987,-43.88842451572418,48,-2.338257,1223.0
2560,5,2056,1,0.0016353726387023926,0.9980176091194153,0.018136645,0.2484130859375,0.2,0.0004092704424510632,-0.026170775934588164,-0.02927163802087307,0.0017218523116753204,-43.923064827919006,64,-2.3743,1223.0
3072,6,2010,1,-0.0017287731170654297,0.9994861483573914,0.022698645,0.3109130859375,0.2,0.0004092704424510632,-0.031065296847373247,-0.04402018338441849,0.006929962764843367,-43.94286227226257,80,-2.3743,1223.0
3584,7,1982,1,0.0009136199951171875,0.9996179938316345,0.016849525,0.266845703125,0.2,0.0004092704424510632,-0.027149307541549206,-0.037285834550857544,0.002213652387581533,-43.97047579288483,96,-2.3743,1223.0
4096,8,1959,2,0.005756855010986328,1.0001360177993774,0.021124037,0.2720947265625,0.2,0.0004092704424510632,-0.02871698298258707,-0.03847479447722435,0.0027822816446132492,-43.974733114242554,112,-2.3805746666666665,1223.0
4608,9,1937,2,-0.0017563104629516602,0.9982177019119263,0.022556059,0.2735595703125,0.2,0.0004092704424510632,-0.02813499678450171,-0.025932567194104195,0.018417584127746522,-43.96363937854767,128,-2.3805746666666665,1223.0
5120,10,1920,2,0.0002821683883666992,0.997668445110321,0.023088658,0.240234375,0.2,0.0004092704424510632,-0.026579613317153417,-0.02744215726852417,0.00194864640434389,-43.91061019897461,144,-2.407496,1223.0
5632,11,1908,2,-0.0009210109710693359,0.9970437288284302,0.018284304,0.254638671875,0.2,0.0004092704424510632,-0.0264805305050686,-0.02859342284500599,0.02481343428371474,-43.90293335914612,160,-2.407496,1223.0
6144,12,1899,3,-0.000544428825378418,0.9943182468414307,0.017757535,0.266357421875,0.2,0.0004092704424510632,-0.03096507684676908,-0.034926384687423706,0.0017535222359583713,-43.847307562828064,176,-2.4049574,1223.0
6656,13,1889,3,-0.00038492679595947266,0.9938888549804688,0.023941234,0.2711181640625,0.2,0.0004092704424510632,-0.026101148119778372,-0.02930784970521927,0.031272619031369686,-43.78450572490692,192,-2.4049574,1223.0
7168,14,1883,3,-0.001147150993347168,0.9915615916252136,0.015910046,0.2298583984375,0.2,0.0004092704424510632,-0.027644048212096095,-0.031130174174904823,0.0025133310446108226,-43.758156418800354,208,-2.4049574,1223.0
7680,15,1877,4,-0.00017786026000976562,0.9898339509963989,0.01933958,0.227783203125,0.2,0.0004092704424510632,-0.024906238628318533,-0.02868291735649109,0.002711014290980529,-43.6794775724411,224,-2.389127,1223.0
8192,16,1872,4,-0.00023031234741210938,0.9891815185546875,0.030875113,0.2720947265625,0.2,0.0004092704424510632,-0.029234845947939903,-0.01092376559972763,0.048821839271113276,-43.6458238363266,240,-2.389127,1223.0
8704,17,1866,4,-0.001988530158996582,0.9876485466957092,0.01772428,0.2462158203125,0.2,0.0004092704424510632,-0.02742417555418797,-0.04523687809705734,0.0016246543436864158,-43.614418506622314,256,-2.3797241428571425,1223.0
9216,18,1853,4,-4.291534423828125e-06,0.9890751838684082,0.019498687,0.2298583984375,0.2,0.0004092704424510632,-0.025655518635176122,-0.009581383317708969,0.05521743174176663,-43.597283482551575,272,-2.3797241428571425,1223.0
9728,19,1842,5,0.00431293249130249,0.9903839826583862,0.018337246,0.232666015625,0.2,0.0004092704424510632,-0.02493473154027015,-0.04065457731485367,0.002021711872657761,-43.64881181716919,288,-2.3797241428571425,1223.0
10240,20,1831,5,2.2649765014648438e-06,0.9912145733833313,0.027185682,0.2783203125,0.2,0.0004092704424510632,-0.031347743919468485,-0.038494568318128586,0.002332204003323568,-43.67752730846405,304,-2.353187625,1223.0
10752,21,1821,5,9.894371032714844e-05,0.9927012920379639,0.033154383,0.3048095703125,0.2,0.0004092704424510632,-0.029068467643810436,-0.01298714429140091,0.06768151966389269,-43.71419560909271,320,-2.353187625,1223.0
11264,22,1814,6,0.00033271312713623047,0.9923949241638184,0.0191025,0.2431640625,0.2,0.0004092704424510632,-0.026215246762149036,-0.046207245439291,0.001960712763320771,-43.739734172821045,336,-2.341958,1223.0
11776,23,1806,6,0.00025641918182373047,0.9929931163787842,0.024070166,0.249267578125,0.2,0.0004092704424510632,-0.027480692595418077,0.0008157268166542053,0.079373087733984,-43.73105728626251,352,-2.341958,1223.0
12288,24,1805,6,0.0015940666198730469,0.9923073649406433,0.015661512,0.1851806640625,0.2,0.0004092704424510632,-0.02171229390660301,-0.03647725284099579,0.001307374963289476,-43.7354302406311,368,-2.3362651999999997,1223.0
12800,25,1800,7,0.00034552812576293945,0.9913675785064697,0.019999601,0.24755859375,0.2,0.0004092704424510632,-0.023816837347112596,0.00653572753071785,0.08296525268815458,-43.70276999473572,384,-2.3362651999999997,1223.0
13312,26,1796,7,-0.0033648014068603516,0.9937306046485901,0.017220031,0.2230224609375,0.2,0.0004092704424510632,-0.02478112146491185,-0.03779877722263336,0.0024234499796875753,-43.715468406677246,400,-2.3362651999999997,1223.0
13824,27,1790,7,-0.0013893842697143555,0.9923415780067444,0.021941504,0.2591552734375,0.2,0.0004092704424510632,-0.028487442818004638,-0.03148140013217926,0.0024792431395326275,-43.751856327056885,416,-2.3412262727272726,1223.0
14336,28,1786,8,0.00033271312713623047,0.9930113554000854,0.020650487,0.259765625,0.2,0.0004092704424510632,-0.02968486971803941,0.002809997648000717,0.10217118635773659,-43.71681046485901,432,-2.3412262727272726,1223.0
14848,29,1781,8,2.8967857360839844e-05,0.9951939582824707,0.021284517,0.271728515625,0.2,0.0004092704424510632,-0.033661936889984645,-0.047377318143844604,0.0016843751418491593,-43.76744270324707,448,-2.341555083333333,1223.0
15360,30,1775,8,0.0004354715347290039,0.9959087371826172,0.020040506,0.238525390625,0.2,0.0004092704424510632,-0.03029882680857554,0.007848888635635376,0.10358129860833287,-43.81390953063965,464,-2.341555083333333,1223.0
15872,31,1770,8,-0.0003426074981689453,0.9959330558776855,0.02532138,0.2708740234375,0.2,0.0004092704424510632,-0.031990796502213925,-0.03388246148824692,0.002010702661209507,-43.821980595588684,480,-2.341555083333333,1223.0
