time/total_timesteps,time/time_elapsed,time/iterations,time/fps,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/loss,train/entropy_loss,train/value_loss,train/explained_variance,train/learning_rate,train/std,train/n_updates,rollout/ep_rew_mean,rollout/ep_len_mean
512,0,1,4103,,,,,,,,,,,,,
1024,0,2,2057,0.19091796875,-0.02334307596902363,0.01258137,0.2,-0.029147818684577942,-43.97382974624634,0.13661878430866636,-1.4923522472381592,0.0004092704424510632,0.9992531538009644,16,,
1536,0,3,1699,0.2840576171875,-0.032116288057295606,0.016351279,0.2,-0.03788577765226364,-43.95553231239319,0.00409444588876795,0.0038582682609558105,0.0004092704424510632,0.9986773729324341,32,-2.259786,1257.0
2048,1,4,1586,0.30419921875,-0.03189611397101544,0.017845772,0.2,-0.024083390831947327,-43.929601430892944,0.003999976863269694,-0.030962109565734863,0.0004092704424510632,0.9977105855941772,48,-2.259786,1257.0
2560,1,5,1501,0.311279296875,-0.034248678261064924,0.024678018,0.2,-0.04293791577219963,-43.8906112909317,0.003791977964283433,-0.0014410018920898438,0.0004092704424510632,0.9959872961044312,64,-2.2907545000000002,1257.0
3072,2,6,1464,0.2767333984375,-0.02748836125829257,0.017800223,0.2,-0.04081418365240097,-43.85455811023712,0.007094709188095294,-0.0019065141677856445,0.0004092704424510632,0.9960891604423523,80,-2.2907545000000002,1257.0
3584,2,7,1440,0.2364501953125,-0.028309818924753927,0.014254001,0.2,-0.039181340485811234,-43.89283549785614,0.0024463416702928953,-0.02723240852355957,0.0004092704424510632,0.9984330534934998,96,-2.2907545000000002,1257.0
4096,2,8,1416,0.274169921875,-0.027509186998941004,0.01614844,0.2,-0.039487943053245544,-43.94980990886688,0.004027553732157685,0.0038858652114868164,0.0004092704424510632,0.9991227388381958,112,-2.361370666666667,1257.0
4608,3,9,1396,0.2650146484375,-0.026680881856009364,0.018734656,0.2,-0.02831554040312767,-43.954392075538635,0.01834841867093928,0.00025463104248046875,0.0004092704424510632,0.9990017414093018,128,-2.361370666666667,1257.0
5120,3,10,1384,0.328857421875,-0.032139199451194145,0.024441019,0.2,-0.03495322912931442,-43.944183707237244,0.004266335985448677,0.0014034509658813477,0.0004092704424510632,0.9988566637039185,144,-2.4176170000000003,1257.0
5632,4,11,1373,0.2386474609375,-0.020518170902505517,0.01994529,0.2,-0.011004016734659672,-43.92193675041199,0.02276390657061711,-0.00033414363861083984,0.0004092704424510632,0.9971745014190674,160,-2.4176170000000003,1257.0
6144,4,12,1363,0.2667236328125,-0.027634533849777654,0.017488457,0.2,-0.0328415185213089,-43.88554322719574,0.0027370746538508683,-0.0034891366958618164,0.0004092704424510632,0.9970985054969788,176,-2.4176170000000003,1257.0
6656,4,13,1356,0.2474365234375,-0.02485438421717845,0.016772673,0.2,-0.03911249339580536,-43.90105736255646,0.002693771690246649,-0.0028978586196899414,0.0004092704424510632,0.9981445074081421,192,-2.4124070000000004,1257.0
7168,5,14,1348,0.2236328125,-0.01932926486915676,0.015520111,0.2,-0.00439576618373394,-43.93321204185486,0.03680657275253907,0.0003535747528076172,0.0004092704424510632,0.9990525245666504,208,-2.4124070000000004,1257.0
7680,5,15,1344,0.2353515625,-0.02410044556017965,0.015145069,0.2,-0.02956288680434227,-43.93711316585541,0.0033669181539153215,-0.0002950429916381836,0.0004092704424510632,0.998046875,224,-2.402289,1257.0
8192,6,16,1338,0.3228759765625,-0.03219837343203835,0.02923502,0.2,-0.032713741064071655,-43.903926730155945,0.040196471847593784,0.0006935000419616699,0.0004092704424510632,0.997444748878479,240,-2.402289,1257.0
8704,6,17,1333,0.28076171875,-0.033846364181954414,0.020610992,0.2,-0.04944708198308945,-43.86409890651703,0.002921890794823412,-0.0007038116455078125,0.0004092704424510632,0.9948664903640747,256,-2.402289,1257.0
9216,6,18,1332,0.2630615234375,-0.027607535856077448,0.018651232,0.2,-0.03802180662751198,-43.808473944664,0.003138264662993606,-0.0009262561798095703,0.0004092704424510632,0.9953017234802246,272,-2.393902142857143,1257.0
9728,7,19,1324,0.2451171875,-0.022409312005038373,0.019832823,0.2,-0.0013579502701759338,-43.83715200424194,0.05250082863494754,0.0009412169456481934,0.0004092704424510632,0.9958875775337219,288,-2.393902142857143,1257.0
10240,7,20,1316,0.244873046875,-0.02872536744689569,0.017062193,0.2,-0.04505244642496109,-43.820775628089905,0.0043853805618709885,0.00352323055267334,0.0004092704424510632,0.9945569038391113,304,-2.40984125,1257.0
10752,8,21,1308,0.2965087890625,-0.026162981084780768,0.023547735,0.2,-0.01678071916103363,-43.76820433139801,0.05689806293230504,0.0006944537162780762,0.0004092704424510632,0.9918473362922668,320,-2.40984125,1257.0
11264,8,22,1301,0.24951171875,-0.026582905993564054,0.017436223,0.2,-0.055056069046258926,-43.70291769504547,0.003227141671231948,-0.002318739891052246,0.0004092704424510632,0.9914442300796509,336,-2.40984125,1257.0
11776,9,23,1295,0.202392578125,-0.02153580573212821,0.013020639,0.2,-0.03754096105694771,-43.70912492275238,0.0019302090913697612,-0.00022935867309570312,0.0004092704424510632,0.9916325211524963,352,-2.3922463333333335,1257.0
12288,9,24,1290,0.242431640625,-0.024860857607563958,0.021686547,0.2,-0.004768863320350647,-43.71186685562134,0.06828960101120174,0.0007055997848510742,0.0004092704424510632,0.991357147693634,368,-2.3922463333333335,1257.0
12800,10,25,1274,0.235107421875,-0.02621030503360089,0.01578825,0.2,-0.02973799966275692,-43.68578588962555,0.003999606487923302,0.002972841262817383,0.0004092704424510632,0.9903351664543152,384,-2.4080819,1257.0
