time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/clip_fraction,train/approx_kl,train/explained_variance,train/loss,train/clip_range,train/value_loss,train/learning_rate,train/n_updates,train/std,train/policy_gradient_loss,train/entropy_loss,rollout/ep_rew_mean,rollout/ep_len_mean
3663,1,0,512,,,,,,,,,,,,,
1761,2,0,1024,0.2164306640625,0.014735439,-2.033355236053467,-0.03318968415260315,0.2,0.10903098625021812,0.0004092704424510632,16,1.0003130435943604,-0.02348787771188654,-43.988767981529236,,
1490,3,1,1536,0.2423095703125,0.016342176,-0.04033339023590088,-0.02693701721727848,0.2,0.0031541556782030966,0.0004092704424510632,32,1.0009485483169556,-0.02695422896067612,-44.00538945198059,-2.69135,1258.0
1392,4,1,2048,0.4002685546875,0.034125455,-0.012644410133361816,-0.03015795163810253,0.2,0.021899228275287896,0.0004092704424510632,48,0.9997289180755615,-0.03549562732223421,-44.00127375125885,-2.69135,1258.0
1340,5,1,2560,0.2591552734375,0.015763495,-0.023750901222229004,-0.043880898505449295,0.2,0.0033593049556657206,0.0004092704424510632,64,1.000593900680542,-0.02914966718526557,-43.98196542263031,-2.7244345,1258.0
1309,6,2,3072,0.2835693359375,0.021207802,0.007275998592376709,-0.015322941355407238,0.2,0.029650534444954246,0.0004092704424510632,80,0.9989812970161438,-0.025529199483571574,-43.98977553844452,-2.7244345,1258.0
1288,7,2,3584,0.2763671875,0.016703784,0.01689887046813965,-0.040230900049209595,0.2,0.0014134153334453003,0.0004092704424510632,96,0.9970170855522156,-0.027120673621539026,-43.91665160655975,-2.7244345,1258.0
1273,8,3,4096,0.3011474609375,0.02157,-0.004515409469604492,-0.031528033316135406,0.2,0.011478415413876064,0.0004092704424510632,112,0.9978641271591187,-0.030173427221598104,-43.898192405700684,-2.7729043333333334,1258.0
1265,9,3,4608,0.2791748046875,0.017097337,0.009852290153503418,-0.018491199240088463,0.2,0.03598521783715114,0.0004092704424510632,128,0.9991852641105652,-0.024649467028211802,-43.939602732658386,-2.7729043333333334,1258.0
1256,10,4,5120,0.2255859375,0.014348776,-0.019985556602478027,-0.021192673593759537,0.2,0.003313135493954178,0.0004092704424510632,144,1.0010267496109009,-0.021006683360610623,-43.979278922080994,-2.7939337500000003,1258.0
1247,11,4,5632,0.3013916015625,0.022686707,0.013615846633911133,0.005707334727048874,0.2,0.06027077010367066,0.0004092704424510632,160,1.0033249855041504,-0.025528023688821122,-44.05213963985443,-2.7939337500000003,1258.0
1240,12,4,6144,0.2850341796875,0.0206034,-0.01645219326019287,-0.03925950825214386,0.2,0.0019159360308549367,0.0004092704424510632,176,1.0048328638076782,-0.02831730287289247,-44.10610115528107,-2.7939337500000003,1258.0
1234,13,5,6656,0.3349609375,0.029740583,0.0812574028968811,-0.03437409549951553,0.2,0.01052836497547105,0.0004092704424510632,192,1.0049768686294556,-0.030997117588412948,-44.1368567943573,-2.7667116000000003,1258.0
1229,14,5,7168,0.2891845703125,0.020746,0.01821768283843994,-0.02503291890025139,0.2,0.06496753531973809,0.0004092704424510632,208,1.0059614181518555,-0.03427326018572785,-44.142752289772034,-2.7667116000000003,1258.0
1224,15,6,7680,0.2144775390625,0.017964274,0.11731183528900146,-0.035541683435440063,0.2,0.006269406047067605,0.0004092704424510632,224,1.0068445205688477,-0.024172108416678384,-44.182577252388,-2.7830016666666673,1258.0
1221,16,6,8192,0.3221435546875,0.034409974,0.015451490879058838,-0.007724475115537643,0.2,0.09157950291410089,0.0004092704424510632,240,1.0098029375076294,-0.03153941658092663,-44.22890055179596,-2.7830016666666673,1258.0
1216,17,7,8704,0.2227783203125,0.017741315,-0.3965878486633301,-0.034335870295763016,0.2,0.002251137946586823,0.0004092704424510632,256,1.0115758180618286,-0.025245035154512152,-44.3113899230957,-2.7830016666666673,1258.0
1213,18,7,9216,0.3016357421875,0.026091455,0.13331949710845947,-0.04897322878241539,0.2,0.011334575043292716,0.0004092704424510632,272,1.0122582912445068,-0.02948842784098815,-44.34516370296478,-2.7860237142857147,1258.0
1210,19,8,9728,0.2728271484375,0.021810532,0.11843538284301758,-0.007818026468157768,0.2,0.05733916076133028,0.0004092704424510632,288,1.0118635892868042,-0.025188613319187425,-44.34780550003052,-2.7860237142857147,1258.0
1208,20,8,10240,0.218017578125,0.017355263,0.35925567150115967,-0.028966059908270836,0.2,0.015782137779751793,0.0004092704424510632,304,1.011764645576477,-0.02302901234361343,-44.337567925453186,-2.80441575,1258.0
